주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,총 주자면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,주차장 위치 좌표 위도,주차장 위치 좌표 경도
1576703,가양라이품 공영주차장(시),강서구 가양동 1457-1,NW,노외 주차장,1,시간제 주차장,02-2290-6144,38,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2021-10-06 18:04,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,0,37.57155732,126.8416529
173047,영보빌딩 공영주차장(시),강서구 가양동 1480-10,NW,노외 주차장,1,시간제 주차장,,79,Y,유료,N,야간 미개방,800,2100,800,2100,800,2100,2021-10-07 14:26,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,0,37.56332959,126.8530818
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56215207,126.8632813
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56201644,126.8635098
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56409218,126.8585039
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56358913,126.8608948
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56364878,126.8607947
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56373862,126.860645
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.56410909,126.858656
1503977,가양3동 황금내공원길(구),강서구 가양동 1485-0,NS,노상 주차장,1,시간제 주차장,02-2607-9113,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 10:42,N,무료,Y,유료,50000,1.15001E+12,100,5,100,5,0,0,0,0,5000,37.5640675,126.8600951
